time [sec], accel [m/s^2]
3.015671859999999924e+02,-1.152831912040710449e+00
3.015721819999999980e+02,-3.717707633972167969e+00
3.015771750000000111e+02,8.646374344825744629e-01
3.015821720000000141e+02,1.255597233772277832e+00
3.015871659999999679e+02,-3.815295696258544922e+00
3.015921589999999810e+02,-1.127443671226501465e+00
3.015971529999999916e+02,2.935377836227416992e+00
3.016021499999999946e+02,-1.474877595901489258e+00
3.016071420000000103e+02,-4.651554107666015625e+00
3.016121359999999640e+02,1.045084238052368164e+00
3.016171299999999746e+02,2.479073047637939453e+00
3.016221259999999802e+02,-2.625337362289428711e+00
3.016271229999999832e+02,-2.216999292373657227e+00
3.016321140000000014e+02,3.250900268554687500e+00
3.016371080000000120e+02,8.124299347400665283e-02
3.016421019999999658e+02,-4.429398059844970703e+00
3.016471119999999928e+02,1.758157014846801758e-01
3.016520909999999844e+02,2.623672008514404297e+00
3.016570869999999900e+02,-2.982669115066528320e+00
3.016620800000000031e+02,-3.731848955154418945e+00
3.016670750000000112e+02,2.633325099945068359e+00
3.016720679999999675e+02,1.586133003234863281e+00
3.016770689999999604e+02,-4.291262149810791016e+00
3.016820599999999786e+02,-1.249089360237121582e+00
3.016870529999999917e+02,2.638223409652709961e+00
3.016920479999999998e+02,-1.734997391700744629e+00
3.016970430000000079e+02,-2.438827991485595703e+00
3.017020359999999641e+02,2.751051664352416992e+00
3.017070299999999747e+02,1.193641543388366699e+00
3.017120239999999853e+02,-3.735829353332519531e+00
3.017170179999999959e+02,-7.378708720207214355e-01
3.017220130000000040e+02,2.820849657058715820e+00
3.017270070000000146e+02,-1.488270759582519531e+00
3.017320029999999633e+02,-3.155236244201660156e+00
3.017370080000000030e+02,9.482456445693969727e-01
3.017419899999999870e+02,1.003670692443847656e+00
3.017469849999999951e+02,-3.724148750305175781e+00
3.017519800000000032e+02,-2.159451007843017578e+00
3.017569740000000138e+02,2.542441606521606445e+00
3.017619679999999676e+02,-2.411241531372070312e-01
3.017669629999999756e+02,-2.898358821868896484e+00
3.017719569999999862e+02,-1.607134193181991577e-01
3.017769509999999968e+02,2.229352712631225586e+00
3.017819450000000074e+02,-7.745536565780639648e-01
3.017869410000000130e+02,-1.933206439018249512e+00
3.017919349999999667e+02,7.360957264900207520e-01
3.017969289999999773e+02,2.093644142150878906e-01
3.018019229999999880e+02,-1.776916503906250000e+00
3.018069179999999960e+02,-1.865532159805297852e+00
3.018119120000000066e+02,2.182118296623229980e-01
3.018169059999999604e+02,-2.799454331398010254e-01
3.018218999999999710e+02,-1.444492101669311523e+00
3.018269019999999614e+02,-9.947490096092224121e-01
3.018318899999999871e+02,-3.603405356407165527e-01
3.018368839999999977e+02,-6.685395240783691406e-01
3.018418780000000083e+02,-8.105668425559997559e-01
3.018468729999999596e+02,-1.350188255310058594e+00
3.018518669999999702e+02,-1.108314752578735352e+00
3.018568609999999808e+02,-2.157367393374443054e-02
3.018618559999999889e+02,-3.777238428592681885e-01
3.018668499999999995e+02,-1.490546226501464844e+00
3.018718460000000050e+02,-7.354171276092529297e-01
3.018768389999999613e+02,8.860991597175598145e-01
3.018818339999999694e+02,-7.115256786346435547e-01
3.018868279999999800e+02,-2.501188755035400391e+00
3.018918229999999880e+02,6.195452809333801270e-01
3.018968169999999986e+02,9.759405851364135742e-01
3.019018120000000067e+02,-2.507427692413330078e+00
3.019068059999999605e+02,-2.060744762420654297e+00
3.019118029999999635e+02,1.782127261161804199e+00
3.019168019999999615e+02,3.872791826725006104e-01
3.019217889999999898e+02,-3.756141901016235352e+00
3.019267849999999953e+02,1.671898812055587769e-01
3.019317780000000084e+02,2.852798461914062500e+00
3.019367719999999622e+02,-4.792851507663726807e-01
3.019417659999999728e+02,-4.127679824829101562e+00
3.019467609999999809e+02,4.569738209247589111e-01
3.019517549999999915e+02,1.903498888015747070e+00
3.019567490000000021e+02,-2.075365543365478516e+00
3.019617519999999899e+02,-3.774940967559814453e+00
3.019667420000000106e+02,1.781798839569091797e+00
3.019717379999999594e+02,2.012397766113281250e+00
3.019767319999999700e+02,-4.061926841735839844e+00
3.019817219999999907e+02,-1.393766760826110840e+00
3.019867160000000013e+02,3.731204032897949219e+00
3.019917110000000093e+02,2.488501369953155518e-01
3.019967069999999580e+02,-5.572144508361816406e+00
3.020017029999999636e+02,-5.048846006393432617e-01
3.020066979999999717e+02,3.342440843582153320e+00
3.020116879999999924e+02,-2.832416534423828125e+00
3.020166820000000030e+02,-5.426675319671630859e+00
3.020216760000000136e+02,1.282732009887695312e+00
3.020266709999999648e+02,3.185913324356079102e+00
3.020316679999999678e+02,-3.164806365966796875e+00
3.020366599999999835e+02,-2.499971866607666016e+00
